,DATE,REVIEW,star
77,2021-2-20,부디 자동사냥중 물약다쓰면 자동 귀환하는 기능과 경계대상 혹은 카오케릭이 근처에오면 자동 텔 하는 기능좀 넣어주세요. 케릭이 죽어야 복구를하고 다이아를 사용하게된다는것을 이해는 하지만 중립성향의 사람들은 스트레스받아서 게임을 못하겠습니다,2
78,2021-2-20,많은 게임을 해보진 않았지만 점점 모든 게임이 사향성으로 변해 유저들을 호구로 보는 것이 안타깝습니다. 전반전으로 악의는 없지만 추천하고 싶은 맘이 없습니다.,1
79,2021-3-14,2주 지나면 해킹당해서 캐릭지워져도 복구를 못한다내? 내가 알앗냐고 일때문에 몇달 쉬엇는대 얼마를 퍼부엇는대;; 니들돈에 900은 돈도 아니다? 이야...심각하내 이러니까 리니지2m도 그난리지 문의해도 니들이 2주지낫다고 캐릭삭제당햇는대 모른체 하잖아 기꺼워서 그런다 c8ㄹ들아,1
80,2021-3-15,매크로 겁나많아서 신고 넣었는데 3개월넘게 처리안해줌. *추가 순차적으로 확인하는 4개월동안 매크로는 편안히 사냥하는중 리뷰수정) 1월현시점 6개월째 매크로 안잡음,1
81,2021-1-31,아이템줍기가 안대요 설정을 잘못해서 그런게 아니라 특수 계정만 일어나는 버그 같아요 해결해 주시고 보상은 드래곤 성수 10개면 될거같아요,1
82,2021-1-31,과금 시켜놓고 잘못 패치했으니 현금이 아닌 게임재화로 돌려주고 그마저도 덜 돌려주는 갓게임입니다.,1
83,2021-1-29,재밌어요 근데 무소과금유저를 위한 이벤트나 아이템드랍 이런게 너무 부족합니다 ㅜ 무소과금도 재밋게할수있는 게임이 됫으면 좋겠어요,5
84,2021-1-29,NC소프트의 빠른 일처리에 감동했습니다. 빠르게 환불해주셔서 감사합니다.,5
85,2021-2-1,전번업뎃 관련 전화바꾸고 들어갈려니 예전번호로 인증하라고나오는데 어떻게해야하나요?구글 인증이고 전번도 바꿔는데 계속 전전번호가뜨네요 수정해주세요,2
86,2021-2-17,말이 필요없는 게임 현질 유도 현질 않하고는 할수없는 게임,1
87,2021-2-17,현질 없이는 게임에 흥미를 느낀수가 없음! 2년을 넘게 했는데도 영웅변신. 하나 안줌. 모든걸로 영변 시도 했지만 수십번 실패 토나온다 정말!!!!!!,1
88,2021-1-31,일단 최적화를 발로했는지 뭔창만 불러왓다하면 과부하걸려서 렉걸림. 특히 상점에서는 뭘파는지 구경조차 힘듦 왜여기에 돈붓는 사람이 있는지 할 정도의 양산형게임 수준인것같다.,1
89,2021-1-31,리니지란게임 옛추억까지 사라지게 하는군요 돈만 밝히고 유저들 조롱하고 득템의 재미도 돈써가면서 느껴야하나요? 이제 nc게임나와도 쳐다도 안볼거같네요,1
